company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
/organization/3one-media-hawaii,3One Media Hawaii,|Web Hosting|,Web Hosting,USA,HI,Honolulu,Honolulu,/organization/us-internet,US Internet,|Web Hosting|,Web Hosting,USA,MN,Twin Cities,Minnetonka,2001-02-01T00:00:00,2001-02,2001-Q1,2001,,USD
/organization/3par,3PAR,|Services|Cloud Data Services|Software|,Services,USA,CA,SF Bay Area,Fremont,/organization/hewlett-packard,Hewlett-Packard,|Information Technology|Curated Web|,Curated Web,USA,CA,SF Bay Area,Palo Alto,2010-09-02T00:00:00,2010-09,2010-Q3,2010,"2,350,000,000",USD
/organization/3pd-inc,"3PD, Inc.",|None|,None,USA,GA,Atlanta,Marietta,/organization/xpo-logistics,XPO Logistics,|E-Commerce|,E-Commerce,USA,CT,Hartford,Greenwich,2013-08-16T00:00:00,2013-08,2013-Q3,2013,"365,000,000",USD
/organization/3rd-federal-bank,3rd Federal Bank,|Banking|,Banking,USA,PA,Philadelphia,Newtown,/organization/national-penn-bancshares,National Penn Bancshares,|Banking|,Banking,USA,PA,Allentown,Allentown,2014-06-04T00:00:00,2014-06,2014-Q2,2014,"138,000,000",USD
/organization/3tera,3Tera,|Cloud Computing|Cloud Management|Enterprise Software|,Cloud Computing,USA,CA,Anaheim,Aliso Viejo,/organization/ca,CA Technologies,|Software|,Software,USA,NY,Long Island,Islandia,2010-02-24T00:00:00,2010-02,2010-Q1,2010,,USD
/organization/3tier-environmental-forecast-group,3TIER,|Clean Technology|,Clean Technology,USA,WA,Seattle,Seattle,/organization/vaisala,Vaisala,,,FIN,,Vantaa,Vantaa,2013-12-17T00:00:00,2013-12,2013-Q4,2013,"14,700,000",USD
/organization/41st-parameter,41st Parameter,|Security|,Security,USA,CA,SF Bay Area,San Jose,/organization/experian,Experian,|Credit|Curated Web|,Curated Web,USA,CA,Anaheim,Costa Mesa,2013-10-01T00:00:00,2013-10,2013-Q4,2013,"324,000,000",USD
/organization/4home,4Home,|Automotive|Clean Energy|Internet|Cloud Computing|Wireless|Software|,Cloud Computing,USA,CA,SF Bay Area,Sunnyvale,/organization/motorola-solutions,Motorola Solutions,|Enterprise Software|,Enterprise Software,USA,IL,Chicago,Schaumburg,2010-12-01T00:00:00,2010-12,2010-Q4,2010,,USD
/organization/4mads,4Mads,|Startups|Advertising|,Startups,USA,CA,SF Bay Area,San Francisco,/organization/insequent,InSequent,|SMS|Local Businesses|SaaS|Sales and Marketing|Mobile|,Sales and Marketing,USA,CA,SF Bay Area,San Francisco,2012-11-10T00:00:00,2012-11,2012-Q4,2012,,USD
/organization/5min,5min Media,|Education|Video|Games|,Video,USA,NY,New York City,New York,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Content Creators,USA,NY,New York City,New York,2010-09-28T00:00:00,2010-09,2010-Q3,2010,"65,000,000",USD
/organization/5square-com,5Square.com,|Software|,Software,USA,CA,Los Angeles,Westlake Village,/organization/imagiclab,iMagicLab,|Software|,Software,USA,MD,Baltimore,Owings Mills,2008-07-09T00:00:00,2008-07,2008-Q3,2008,,USD
/organization/5to1,5to1,|Internet|Internet Marketing|Advertising|,Internet Marketing,USA,WA,Seattle,Seattle,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Photography,USA,CA,SF Bay Area,Sunnyvale,2011-05-01T00:00:00,2011-05,2011-Q2,2011,"30,000,000",USD
/organization/6th-sense-analytics,6th Sense Analytics,|Software|,Software,USA,NC,Raleigh,Morrisville,/organization/rally-software,Rally Software,|Health and Wellness|Software|Enterprise Software|,Health and Wellness,USA,CO,Denver,Boulder,2009-01-14T00:00:00,2009-01,2009-Q1,2009,,USD
/organization/7ticks,7ticks,|Hardware + Software|,Hardware + Software,USA,IL,Chicago,Chicago,/organization/interactive-data,Interactive Data,|Software|,Software,USA,MA,Boston,Bedford,2009-12-14T00:00:00,2009-12,2009-Q4,2009,,USD
/organization/80-20,80/20,|Hardware + Software|,Hardware + Software,USA,NY,New York City,New York,/organization/square,Square,|Mobile Payments|Mobile|,Mobile Payments,USA,CA,SF Bay Area,San Francisco,2012-10-01T00:00:00,2012-10,2012-Q4,2012,,USD
/organization/alvenda-inc,8thBridge,|Social Commerce|E-Commerce|,E-Commerce,USA,MN,Twin Cities,Minneapolis,/organization/fluid,Fluid,|E-Commerce|,E-Commerce,USA,CA,SF Bay Area,San Francisco,2014-04-07T00:00:00,2014-04,2014-Q2,2014,,USD
/organization/8x8-inc,8x8 Inc,|Telecommunications|Web Hosting|,Telecommunications,USA,CA,SF Bay Area,San Jose,/organization/contactual,Contactual,|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Redwood City,2011-09-15T00:00:00,2011-09,2011-Q3,2011,,USD
/organization/a-bit-lucky,A Bit Lucky,|Social Games|Games|,Social Games,USA,CA,SF Bay Area,San Mateo,/organization/zynga,Zynga,|Technology|Facebook Applications|Networking|Games|,Technology,USA,CA,SF Bay Area,San Francisco,2012-09-17T00:00:00,2012-09,2012-Q3,2012,,USD
/organization/a-life-medical,A-Life Medical,|Biotechnology|,Biotechnology,USA,CA,San Diego,San Diego,/organization/ingenix,Ingenix,|Consulting|,Consulting,USA,MN,Minneapolis,Eden Prairie,2010-09-21T00:00:00,2010-09,2010-Q3,2010,,USD
/organization/aardvark,Aardvark,|Search|,Search,USA,CA,SF Bay Area,San Francisco,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Software,USA,CA,SF Bay Area,Mountain View,2010-02-11T00:00:00,2010-02,2010-Q1,2010,"50,000,000",USD
/organization/aaren-scientific,Aaren Scientific,|Manufacturing|,Manufacturing,USA,CA,Ontario - Inland Empire,Ontario,/organization/carl-zeiss,Carl Zeiss,|Hardware + Software|,Hardware + Software,DEU,,Baden-Wurttemberg,Oberkochen,2014-01-07T00:00:00,2014-01,2014-Q1,2014,"70,000,000",USD
/organization/abcro,AbCRO,|Biotechnology|,Biotechnology,USA,NC,"Wilmington, DE",Wilmington,/organization/ppd,PPD,|Medical Devices|Pharmaceuticals|Biotechnology|,Medical Devices,USA,NC,"Wilmington, DE",Wilmington,2009-04-21T00:00:00,2009-04,2009-Q2,2009,,USD
/organization/abd-serotec,AbD Serotec,|Biotechnology|,Biotechnology,USA,NC,Raleigh,Raleigh,/organization/bio-rad-laboratories,Bio-Rad Laboratories,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Hercules,2013-01-10T00:00:00,2013-01,2013-Q1,2013,,USD
/organization/about-com,About.com,|Curated Web|,Curated Web,USA,NY,New York City,New York,/organization/iac,IAC,|News|,News,USA,NY,New York City,New York,2012-08-27T00:00:00,2012-08,2012-Q3,2012,"300,000,000",USD
/organization/about-com,About.com,|Curated Web|,Curated Web,USA,NY,New York City,New York,/organization/newyorktimes,The New York Times,|News|,News,USA,NY,New York City,New York,2005-03-18T00:00:00,2005-03,2005-Q1,2005,"410,000,000",USD
/organization/abovenet,AboveNet,|Information Technology|Internet|Service Providers|Services|Web Hosting|,Internet,USA,NY,New York City,White Plains,/organization/zayo-group,Zayo,|Internet|Data Centers|Mobile|,Internet,,,,,2012-03-19T00:00:00,2012-03,2012-Q1,2012,"2,300,000,000",USD
/organization/abr-affinity-bioreagents,ABR--Affinity BioReagents,|Biotechnology|,Biotechnology,USA,CO,Denver,Golden,/organization/thermo-fisher-scientific,Thermo Fisher Scientific,|Biotechnology|,Biotechnology,USA,MA,Bangor,Waltham,2008-07-17T00:00:00,2008-07,2008-Q3,2008,,USD
/organization/abra-auto-body-glass,Abra Auto Body & Glass,|Automotive|None|,Automotive,USA,MN,Twin Cities,Minneapolis,/organization/hellman-friedman,Hellman & Friedman,|Finance|,Finance,USA,CA,SF Bay Area,San Francisco,2014-08-04T00:00:00,2014-08,2014-Q3,2014,,USD
/organization/abraxis-bioscience,Abraxis BioScience,|Pharmaceuticals|Biotechnology|,Biotechnology,USA,CA,Los Angeles,Los Angeles,/organization/celgene,Celgene,|Medical|Biotechnology|,Biotechnology,USA,NJ,Newark,Summit,2010-06-30T00:00:00,2010-06,2010-Q2,2010,"2,900,000,000",USD
/organization/absorbent-ink,"Absorbent, Ink.",|Promotional|Sales and Marketing|Brand Marketing|Gift Card|Advertising|E-Commerce|,Brand Marketing,USA,TX,Austin,Austin,/organization/printglobe,PrintGlobe,|Sales and Marketing|Gift Card|Advertising|Promotional|E-Commerce|,E-Commerce,USA,TX,Austin,Austin,2010-01-12T00:00:00,2010-01,2010-Q1,2010,,USD
/organization/academic-earth,Academic Earth,|Video|Education|,Video,USA,CA,SF Bay Area,San Francisco,/organization/ampush-media,Ampush,|Advertising|,Advertising,USA,CA,SF Bay Area,San Francisco,2011-10-10T00:00:00,2011-10,2011-Q4,2011,,USD
/organization/academy123,Academy123,|Education|,Education,USA,CA,Los Angeles,Westlake Village,/organization/discoverycommunications,Discovery Communications,|Curated Web|,Curated Web,JPN,,Kochi,Usa,2006-05-01T00:00:00,2006-05,2006-Q2,2006,,USD
/organization/acadia,Acadia,|Virtualization|Data Centers|Infrastructure|Enterprise Software|,Infrastructure,USA,TX,Atlanta,Dallas,/organization/vce,VCE,|Virtualization|Data Centers|Cloud Management|Enterprise Software|,Virtualization,USA,TX,Dallas,Richardson,2011-01-20T00:00:00,2011-01,2011-Q1,2011,,USD
/organization/accela-communications,Accela Communications,|Public Relations|,Public Relations,USA,MA,Boston,Southborough,/organization/kit-digital,KIT digital,|Games|,Games,CZE,,Prague,Prague,2010-09-09T00:00:00,2010-09,2010-Q3,2010,"4,700,000",USD
/organization/accelrys,Accelrys,|Software|,Software,USA,CA,San Diego,San Diego,/organization/dassault,Dassault Systemes,|Software|,Software,FRA,,Franche-Comte,,2014-01-30T00:00:00,2014-01,2014-Q1,2014,"750,000,000",USD
/organization/accenx-technologies,Accenx Technologies,|Software|,Software,USA,CA,Anaheim,Irvine,/organization/initiate-systems,Initiate Systems,|Insurance|Hospitality|Services|Heathcare|Governments|Banking|Games|Enterprise Software|,Insurance,USA,IL,Chicago,Chicago,2009-10-01T00:00:00,2009-10,2009-Q4,2009,,USD
/organization/accept-software,Accept Software,|Career Management|Software|,Career Management,USA,CA,SF Bay Area,Santa Clara,/organization/artemis-international,Artemis International,,,USA,TX,Austin,Austin,2012-10-09T00:00:00,2012-10,2012-Q4,2012,,USD
/organization/acceptys,Acceptys,|Biotechnology|,Biotechnology,USA,NJ,Newark,Sparta,/organization/patrys,Patrys,|Biotechnology|,Biotechnology,AUS,,Melbourne,Melbourne,2008-10-27T00:00:00,2008-10,2008-Q4,2008,"2,820,000",USD
/organization/accertify,Accertify,|Fraud Detection|Credit Cards|Security|,Security,USA,IL,Chicago,Itasca,/organization/americanexpress,American Express,|Finance|,Finance,USA,NY,New York City,New York,2010-11-01T00:00:00,2010-11,2010-Q4,2010,"150,000,000",USD
/organization/access-closure,Access Closure,|Health Care|,Health Care,USA,CA,SF Bay Area,Mountain View,/organization/cardinal-health,Cardinal Health,,,USA,OH,SF Bay Area,Dublin,2014-04-02T00:00:00,2014-04,2014-Q2,2014,"320,000,000",USD
/organization/access-communications,Access Communications,|Technology|Services|Social Media|Public Relations|,Social Media,USA,CA,SF Bay Area,San Francisco,/organization/zayo-group,Zayo,|Internet|Data Centers|Mobile|,Internet,,,,,2013-08-19T00:00:00,2013-08,2013-Q3,2013,"40,000,000",USD
/organization/access-litigation-support-services,ACCESS Litigation Support Services,|Software|,Software,USA,DC,Washington D.C.,Washington,/organization/edmond-scientific,Edmond Scientific,|Enterprise Software|,Enterprise Software,USA,VA,SF Bay Area,Fairfax,2008-08-25T00:00:00,2008-08,2008-Q3,2008,,USD
/organization/access-midstream-partners-lp-investments,Access Midstream Partners LP Investments,|Natural Gas Uses|,Natural Gas Uses,USA,OK,Oklahoma City,Oklahoma City,/organization/the-williams-companies,The Williams Companies,|Gas|Enterprise Software|,Gas,USA,OK,Snyder,Snyder,2012-12-21T00:00:00,2012-12,2012-Q4,2012,"2,250,000,000",USD
/organization/access-northeast,Access Northeast,|Networking|Software|Cloud Computing|Services|Data Centers|Web Hosting|,Services,USA,MA,Boston,Marlborough,/organization/xand,Xand,|Software|,Software,USA,NY,Los Angeles,Hawthorne,2012-04-03T00:00:00,2012-04,2012-Q2,2012,,USD
/organization/access-scientific,Access Scientific,|Health Care|,Health Care,USA,CA,San Diego,San Diego,/organization/endeavour-capital,Endeavour Capital,,,USA,OR,"Portland, ME",Portland,2012-11-07T00:00:00,2012-11,2012-Q4,2012,,USD
/organization/accessflow,AccessFlow,|Consulting|,Consulting,USA,CA,Sacramento,Sacramento,/organization/inx,INX,|Web Hosting|,Web Hosting,USA,TX,Houston,Houston,2008-06-09T00:00:00,2008-06,2008-Q2,2008,"7,350,000",USD
/organization/acclarent,Acclarent,|Medical|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Menlo Park,/organization/johnson-johnson,Johnson & Johnson,|Consumers|Pharmaceuticals|Health Care|Consumer Goods|Health and Wellness|Biotechnology|,Pharmaceuticals,USA,NJ,Newark,New Brunswick,2009-12-17T00:00:00,2009-12,2009-Q4,2009,"785,000,000",USD
/organization/accomplice,Accomplice,|Software|,Software,USA,CA,SF Bay Area,Palo Alto,/organization/vertabase,Vertabase,|Collaboration|SaaS|Project Management|Software|,Software,USA,MI,Detroit,Southfield,2008-07-01T00:00:00,2008-07,2008-Q3,2008,,USD
/organization/accordent-technologies,Accordent Technologies,|Consulting|,Consulting,USA,CA,Los Angeles,El Segundo,/organization/polycom,Polycom,|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,San Jose,2011-03-23T00:00:00,2011-03,2011-Q1,2011,,USD
/organization/accugenix,Accugenix,|Biotechnology|,Biotechnology,USA,DE,SF Bay Area,Newark,/organization/charles-river-laboratories-international,Charles River Laboratories International,|Biotechnology|,Biotechnology,USA,MA,"Wilmington, DE",Wilmington,2012-08-29T00:00:00,2012-08,2012-Q3,2012,,USD
/organization/accumetrics,Accumetrics,|Biotechnology|,Biotechnology,USA,CA,San Diego,San Diego,/organization/itc,ITC,|Biotechnology|,Biotechnology,USA,NY,New York City,New York,2013-08-30T00:00:00,2013-08,2013-Q3,2013,,USD
/organization/accupost-corporation,Accupost Corporation,|Software|,Software,USA,CO,Denver,Littleton,/organization/transunion,TransUnion,|Legal|,Legal,USA,IL,Chicago,Chicago,2004-09-02T00:00:00,2004-09,2004-Q3,2004,,USD
/organization/accurate-paper-recycling,Accurate Paper Recycling,|Recycling|,Recycling,USA,FL,Tampa,Tampa,/organization/atlas-paper-mills,Atlas Paper Mills,|Enterprise Software|,Enterprise Software,USA,FL,Miami,Miami,2014-07-02T00:00:00,2014-07,2014-Q3,2014,,USD
/organization/accuvant,Accuvant,|Security|,Security,USA,CO,Denver,Denver,/organization/blackstone-group,Blackstone Group,|Investment Management|Finance|,Investment Management,USA,NY,New York City,New York,2014-03-12T00:00:00,2014-03,2014-Q1,2014,"225,000,000",USD
/organization/acerno,acerno,|Curated Web|,Curated Web,USA,NY,New York City,New York,/organization/akamai-technologies,Akamai Technologies,|Business Services|IaaS|Content Delivery|Distribution|Broadcasting|Enterprise Software|,Business Services,USA,MA,Boston,Cambridge,2008-10-21T00:00:00,2008-10,2008-Q4,2008,"95,000,000",USD
/organization/acetylene-oxygen-company,Acetylene Oxygen Company,|Gas|,Gas,USA,TX,Harlingen,Harlingen,/organization/praxair,Praxair,|Gas|Chemicals|,Chemicals,USA,CT,Hartford,Danbury,2012-11-16T00:00:00,2012-11,2012-Q4,2012,,USD
/organization/aceva-technologies,Aceva Technologies,|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,San Mateo,/organization/sungard,SunGard,|Software|,Software,USA,PA,Newark,Wayne,2007-02-15T00:00:00,2007-02,2007-Q1,2007,,USD
/organization/aciex-therapeutics,Aciex Therapeutics,|Biotechnology|,Biotechnology,USA,MA,Worcester,Westborough,/organization/nicox,NicOx,|Biotechnology|,Biotechnology,FRA,,Nice,Valbonne,2014-07-02T00:00:00,2014-07,2014-Q3,2014,"120,000,000",USD
/organization/acme-packet,Acme Packet,|Telecommunications|Web Hosting|,Telecommunications,USA,MA,Boston,Bedford,/organization/oracle,Oracle Corporation,|Software|Hardware|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,Redwood City,2013-02-04T00:00:00,2013-02,2013-Q1,2013,,USD
